name,2020,2030,2040
Afghanistan,4.04,4.11,4.17
Albania,2.43,2.95,3.32
Algeria,3.40,3.82,4.22
Andorra,3.34,3.43,3.56
Angola,0.59,0.86,1.14
Argentina,2.67,2.69,2.69
Armenia,4.17,4.35,4.60
Australia,3.27,3.34,3.51
Austria,0.43,0.49,0.53
Azerbaijan,4.09,4.39,4.74
Bahrain,5.00,5.00,5.00
Bangladesh,0.25,0.25,0.27
Belarus,1.18,1.32,1.34
Belgium,3.47,3.54,3.54
Belize,0.33,0.40,0.43
Benin,0.00,0.00,0.00
Bhutan,0.00,0.00,0.00
Bolivia,0.44,0.54,0.79
Bosnia and Herzegovina,0.27,0.40,0.48
Botswana,1.94,2.37,2.94
Brazil,0.87,0.87,0.91
Brunei,0.00,0.00,0.01
Bulgaria,1.47,1.63,1.73
Burkina Faso,0.00,0.03,0.23
Burundi,0.00,0.00,0.01
Cambodia,0.46,0.42,0.38
Cameroon,0.00,0.01,0.01
Canada,1.02,1.05,1.11
Central African Republic,0.00,0.00,0.00
Chad,0.61,0.46,0.42
Chile,3.74,4.20,4.56
China,3.19,3.30,3.30
Colombia,0.27,0.31,0.37
Costa Rica,1.01,0.96,0.97
Croatia,0.29,0.44,0.55
Cuba,2.81,2.84,2.89
Czech Republic,1.63,1.73,1.70
Democratic Republic of the Congo,0.00,0.00,0.00
Denmark,0.43,0.51,0.65
Djibouti,0.26,0.24,0.32
Dominican Republic,3.63,3.78,3.95
Ecuador,2.11,1.97,1.94
Egypt,1.35,1.44,1.48
El Salvador,0.55,0.81,1.12
Equatorial Guinea,0.00,0.00,0.00
Eritrea,3.61,3.00,3.07
Estonia,2.96,3.44,3.88
Ethiopia,0.68,0.66,0.69
Finland,1.39,1.62,1.68
France,1.96,2.07,2.12
Gabon,0.00,0.00,0.00
Gambia,0.23,0.36,0.66
Georgia,2.20,2.50,2.81
Germany,1.76,1.72,1.62
Ghana,0.25,0.37,0.45
Greece,3.83,4.10,4.22
Guatemala,0.50,0.76,1.14
Guinea,0.01,0.01,0.02
Guinea Bissau,0.00,0.00,0.00
Guyana,0.66,0.63,0.61
Haiti,2.50,2.84,3.27
Honduras,0.30,0.64,1.05
Hungary,0.55,0.66,0.74
Iceland,0.00,0.00,0.00
India,3.70,3.66,3.62
Indonesia,2.74,2.93,3.22
Iran,4.81,4.87,4.92
Iraq,4.29,4.52,4.70
Ireland,1.74,1.71,1.68
Israel,4.98,5.00,5.00
Italy,3.52,3.60,3.66
Ivory Coast,0.01,0.11,0.22
Japan,2.31,2.29,2.20
Jordan,4.80,4.84,4.86
Kazakhstan,4.65,4.64,4.65
Kenya,0.44,0.52,0.51
Kosovo,2.23,2.60,2.85
Kuwait,5.00,5.00,5.00
Kyrgyzstan,4.91,4.92,4.93
Laos,0.04,0.05,0.06
Latvia,0.65,0.80,0.91
Lebanon,4.75,4.89,4.98
Lesotho,1.25,1.47,1.78
Liberia,0.01,0.01,0.01
Libya,4.87,4.76,4.79
Liechtenstein,0.47,0.50,0.50
Lithuania,1.93,2.17,2.34
Luxembourg,2.74,2.73,2.67
Macedonia,3.93,4.36,4.68
Madagascar,1.15,1.00,0.96
Malawi,0.00,0.00,0.02
Malaysia,0.98,1.32,1.81
Mali,0.36,0.36,0.34
Mauritania,0.50,0.73,1.00
Mexico,3.70,3.88,4.04
Moldova,2.20,2.46,2.61
Monaco,3.48,3.50,3.55
Mongolia,3.63,3.73,3.82
Montenegro,0.75,1.00,1.18
Morocco,4.26,4.53,4.71
Mozambique,0.50,0.61,0.71
Myanmar,0.16,0.16,0.15
Namibia,2.34,2.49,3.05
Nepal,2.18,2.16,2.16
Netherlands,1.81,2.19,2.51
New Zealand,0.60,0.58,0.55
Nicaragua,0.39,0.39,0.40
Niger,0.12,0.19,0.24
Nigeria,0.43,0.58,0.76
North Korea,1.47,1.50,1.43
Norway,0.51,0.50,0.47
Oman,4.97,4.94,4.97
Pakistan,4.34,4.46,4.51
Palestine,4.84,4.99,5.00
Panama,0.00,0.00,0.00
Papua New Guinea,0.07,0.08,0.24
Paraguay,0.00,0.00,0.01
Peru,3.34,3.22,3.27
Philippines,2.62,2.78,2.98
Poland,1.81,1.97,1.95
Portugal,3.07,3.33,3.58
Qatar,5.00,5.00,5.00
Serbia,0.74,0.82,0.85
Congo,0.00,0.00,0.00
Romania,1.29,1.43,1.48
Russia,1.57,1.70,1.79
Rwanda,0.00,0.00,0.00
San Marino,5.00,5.00,5.00
Saudi Arabia,5.00,5.00,4.99
Senegal,0.55,0.78,0.98
Sierra Leone,0.00,0.01,0.01
Singapore,5.00,5.00,5.00
Slovakia,0.74,0.84,0.89
Slovenia,0.33,0.52,0.67
Somalia,1.55,1.55,1.53
South Africa,2.96,3.03,3.19
South Korea,2.53,2.56,2.54
South Sudan,0.00,0.00,0.00
Spain,3.77,3.92,4.05
Sri Lanka,2.69,2.96,3.24
Sudan,1.25,1.52,1.64
Suriname,0.24,0.24,0.22
Swaziland,2.34,2.52,2.62
Sweden,1.60,1.52,1.37
Switzerland,1.13,1.17,1.17
Syria,4.27,4.38,4.47
Taiwan,1.94,1.43,1.06
Tajikistan,3.33,3.41,3.48
Thailand,1.85,1.91,1.84
Timor-Leste,3.00,3.05,3.18
Togo,0.05,0.07,0.11
Tunisia,3.49,3.78,4.10
Turkey,3.86,4.13,4.31
Turkmenistan,4.14,4.27,4.31
Uganda,0.00,0.00,0.00
Ukraine,2.83,3.08,3.21
United Arab Emirates,5.00,5.00,5.00
United Kingdom,2.58,2.46,2.30
United Republic of Tanzania,0.99,0.96,0.98
United States of America,3.15,3.17,3.20
Uruguay,0.68,0.61,0.60
Uzbekistan,4.04,4.14,4.21
Venezuela,1.91,1.96,2.01
Vietnam,1.03,1.00,0.93
Yemen,4.92,4.88,4.74
Zambia,0.00,0.04,0.12
Zimbabwe,0.74,1.12,1.15
