name,2020,2030,2040
Afghanistan,4.03,4.07,4.12
Albania,2.44,2.93,3.28
Algeria,3.38,3.76,4.17
Andorra,3.34,3.44,3.57
Angola,0.61,0.88,1.21
Argentina,2.69,2.69,2.69
Armenia,4.16,4.34,4.60
Australia,3.30,3.41,3.55
Austria,0.44,0.51,0.65
Azerbaijan,4.08,4.34,4.69
Bahrain,5.00,5.00,5.00
Bangladesh,0.26,0.28,0.32
Belarus,1.18,1.33,1.35
Belgium,3.50,3.64,3.74
Belize,0.32,0.38,0.41
Benin,0.00,0.00,0.01
Bhutan,0.00,0.00,0.00
Bolivia,0.44,0.54,0.79
Bosnia and Herzegovina,0.30,0.46,0.58
Botswana,1.97,2.40,3.00
Brazil,0.87,0.86,0.88
Brunei,0.00,0.00,0.01
Bulgaria,1.61,1.78,1.84
Burkina Faso,0.00,0.08,0.39
Burundi,0.00,0.00,0.30
Cambodia,0.46,0.42,0.38
Cameroon,0.01,0.01,0.01
Canada,1.04,1.13,1.26
Central African Republic,0.00,0.00,0.00
Chad,0.58,0.42,0.67
Chile,3.69,4.09,4.45
China,3.19,3.29,3.30
Colombia,0.28,0.32,0.37
Costa Rica,1.01,0.97,0.97
Croatia,0.32,0.51,0.66
Cuba,2.84,2.86,2.90
Czech Republic,1.65,1.80,1.81
Democratic Republic of the Congo,0.00,0.00,0.15
Denmark,0.45,0.54,0.70
Djibouti,0.26,0.23,0.28
Dominican Republic,3.64,3.78,3.94
Ecuador,2.09,1.92,1.88
Egypt,1.37,1.48,1.53
El Salvador,0.53,0.75,1.03
Equatorial Guinea,0.00,0.00,0.00
Eritrea,3.64,3.50,3.00
Estonia,2.96,3.46,3.91
Ethiopia,0.68,0.63,0.66
Finland,1.45,1.72,1.86
France,1.98,2.15,2.28
Gabon,0.00,0.00,0.00
Gambia,0.26,0.47,0.85
Georgia,2.20,2.46,2.75
Germany,1.76,1.75,1.70
Ghana,0.29,0.45,0.57
Greece,3.83,4.11,4.23
Guatemala,0.51,0.82,1.23
Guinea,0.01,0.01,0.02
Guinea Bissau,0.00,0.00,0.00
Guyana,0.67,0.64,0.61
Haiti,2.53,2.85,3.27
Honduras,0.33,0.72,1.17
Hungary,0.58,0.76,0.89
Iceland,0.00,0.00,0.00
India,3.70,3.66,3.61
Indonesia,2.76,2.96,3.26
Iran,4.81,4.86,4.91
Iraq,4.28,4.49,4.66
Ireland,1.74,1.73,1.73
Israel,4.98,4.99,5.00
Italy,3.51,3.60,3.67
Ivory Coast,0.02,0.14,0.34
Japan,2.31,2.31,2.24
Jordan,4.80,4.84,4.86
Kazakhstan,4.66,4.66,4.66
Kenya,0.44,0.57,0.64
Kosovo,2.28,2.68,2.96
Kuwait,5.00,5.00,5.00
Kyrgyzstan,4.90,4.91,4.93
Laos,0.04,0.06,0.08
Latvia,0.65,0.81,0.92
Lebanon,4.75,4.89,4.97
Lesotho,1.28,1.52,1.84
Liberia,0.01,0.01,0.03
Libya,4.87,4.74,4.77
Liechtenstein,0.47,0.53,0.59
Lithuania,1.93,2.15,2.30
Luxembourg,2.75,2.77,2.76
Macedonia,3.93,4.37,4.70
Madagascar,1.15,0.94,0.88
Malawi,0.00,0.00,0.08
Malaysia,0.97,1.31,1.78
Mali,0.36,0.35,0.32
Mauritania,0.51,0.75,1.05
Mexico,3.69,3.85,3.99
Moldova,2.45,2.75,2.85
Monaco,3.48,3.51,3.56
Mongolia,3.65,3.77,3.85
Montenegro,0.77,1.03,1.22
Morocco,4.24,4.50,4.68
Mozambique,0.50,0.60,0.72
Myanmar,0.17,0.17,0.17
Namibia,2.40,2.61,3.18
Nepal,2.19,2.18,2.18
Netherlands,1.83,2.27,2.67
New Zealand,0.61,0.62,0.61
Nicaragua,0.40,0.39,0.40
Niger,0.13,0.21,0.28
Nigeria,0.45,0.65,0.90
North Korea,1.47,1.53,1.50
Norway,0.52,0.54,0.55
Oman,4.98,4.94,4.97
Pakistan,4.33,4.42,4.48
Palestine,4.83,4.95,5.00
Panama,0.00,0.00,0.00
Papua New Guinea,0.07,0.12,0.40
Paraguay,0.00,0.00,0.00
Peru,3.34,3.17,3.18
Philippines,2.63,2.80,3.01
Poland,1.84,2.02,2.05
Portugal,3.07,3.30,3.55
Qatar,5.00,5.00,5.00
Serbia,0.76,0.86,0.93
Republic of the Congo,0.00,0.00,0.00
Romania,1.31,1.44,1.50
Russia,1.58,1.70,1.79
Rwanda,0.00,0.00,0.10
San Marino,5.00,5.00,5.00
Saudi Arabia,5.00,5.00,4.99
Senegal,0.54,0.77,0.98
Sierra Leone,0.00,0.01,0.02
Singapore,5.00,5.00,5.00
Slovakia,0.77,0.96,1.08
Slovenia,0.36,0.58,0.78
Somalia,1.60,1.64,1.66
South Africa,2.98,3.04,3.19
South Korea,2.53,2.58,2.59
South Sudan,0.00,0.00,0.00
Spain,3.77,3.93,4.07
Sri Lanka,2.69,2.98,3.33
Sudan,1.21,1.45,1.56
Suriname,0.24,0.24,0.22
Swaziland,2.34,2.52,2.63
Sweden,1.60,1.62,1.63
Switzerland,1.14,1.21,1.26
Syria,4.27,4.37,4.44
Taiwan,1.97,1.54,1.14
Tajikistan,3.31,3.38,3.44
Thailand,1.83,1.90,1.82
Timor-Leste,3.00,3.05,3.18
Togo,0.06,0.12,0.32
Tunisia,3.47,3.74,4.06
Turkey,3.85,4.10,4.27
Turkmenistan,4.12,4.26,4.30
Uganda,0.00,0.00,0.01
Ukraine,2.85,3.10,3.25
United Arab Emirates,5.00,5.00,5.00
United Kingdom,2.57,2.48,2.38
United Republic of Tanzania,0.98,0.95,1.00
United States of America,3.17,3.24,3.32
Uruguay,0.68,0.61,0.59
Uzbekistan,4.03,4.12,4.19
Venezuela,1.92,1.94,1.98
Vietnam,1.04,1.02,0.96
Yemen,4.95,4.88,4.74
Zambia,0.00,0.08,0.20
Zimbabwe,0.68,0.95,1.02
