name,alpha-3,numeric
Aruba,ABW,533
Afghanistan,AFG,4
Angola,AGO,24
Anguilla,AIA,660
Albania,ALB,8
Andorra,AND,20
United Arab Emirates,ARE,784
Argentina,ARG,32
Armenia,ARM,51
American Samoa,ASM,16
Antarctica,ATA,10
French Southern Territories,ATF,260
Antigua and Barbuda,ATG,28
Australia,AUS,36
Austria,AUT,40
Azerbaijan,AZE,31
Burundi,BDI,108
Belgium,BEL,56
Benin,BEN,204
"Bonaire, Sint Eustatius and Saba",BES,535
Burkina Faso,BFA,854
Bangladesh,BGD,50
Bulgaria,BGR,100
Bahrain,BHR,48
Bahamas,BHS,44
Bosnia and Herzegovina,BIH,70
Saint Barth�lemy,BLM,652
Belarus,BLR,112
Belize,BLZ,84
Bermuda,BMU,60
Bolivia,BOL,68
Brazil,BRA,76
Barbados,BRB,52
Brunei Darussalam,BRN,96
Bhutan,BTN,64
Bouvet Island,BVT,74
Botswana,BWA,72
Central African Republic,CAF,140
Canada,CAN,124
Cocos (Keeling) Islands,CCK,166
Switzerland,CHE,756
Chile,CHL,152
China,CHN,156
Cote d'Ivoire,CIV,384
Cameroon,CMR,120
Democratic Republic of the Congo,COD,180
Congo,COG,178
Cook Islands,COK,184
Colombia,COL,170
Comoros,COM,174
Cabo Verde,CPV,132
Costa Rica,CRI,188
Cuba,CUB,192
Cura�_ao,CUW,531
Christmas Island,CXR,162
Cayman Islands,CYM,136
Cyprus,CYP,196
Czech Republic,CZE,203
Germany,DEU,276
Djibouti,DJI,262
Dominica,DMA,212
Denmark,DNK,208
Dominican Republic,DOM,214
Algeria,DZA,12
Ecuador,ECU,218
Egypt,EGY,818
Eritrea,ERI,232
Western Sahara,ESH,732
Spain,ESP,724
Estonia,EST,233
Ethiopia,ETH,231
Finland,FIN,246
Fiji,FJI,242
Falkland Islands (Malvinas),FLK,238
France,FRA,250
Faroe Islands,FRO,234
Micronesia (Federated States of),FSM,583
Gabon,GAB,266
United Kingdom,GBR,826
Georgia,GEO,268
Guernsey,GGY,831
Ghana,GHA,288
Gibraltar,GIB,292
Guinea,GIN,324
Guadeloupe,GLP,312
Gambia,GMB,270
Guinea-Bissau,GNB,624
Equatorial Guinea,GNQ,226
Greece,GRC,300
Grenada,GRD,308
Greenland,GRL,304
Guatemala,GTM,320
French Guiana,GUF,254
Guam,GUM,316
Guyana,GUY,328
"China, Hong Kong Special Administrative Region",HKG,344
Heard Island and McDonald Islands,HMD,334
Honduras,HND,340
Croatia,HRV,191
Haiti,HTI,332
Hungary,HUN,348
Indonesia,IDN,360
Isle of Man,IMN,833
India,IND,356
British Indian Ocean Territory,IOT,86
Ireland,IRL,372
Iran,IRN,364
Iraq,IRQ,368
Iceland,ISL,352
Israel,ISR,376
Italy,ITA,380
Jamaica,JAM,388
Jersey,JEY,832
Jordan,JOR,400
Japan,JPN,392
Kazakhstan,KAZ,398
Kenya,KEN,404
Kyrgyzstan,KGZ,417
Cambodia,KHM,116
Kiribati,KIR,296
Saint Kitts and Nevis,KNA,659
South Korea,KOR,410
Kuwait,KWT,414
Laos,LAO,418
